DateTime,Entries,UniqueIPs
1508884224,10465,10465
1508885129,10465,10465
1508885943,10429,10429
1508886922,10461,10461
1508887825,10408,10408
1508888538,10418,10418
1508889376,10453,10453
1508890222,10435,10435
1508890461,10447,10447
1508891420,10425,10425
1508892142,10438,10438
1508893824,10458,10458
1508894897,10496,10496
1508895921,10462,10462
1508897341,10449,10449
1508898170,10484,10484
1508899223,10458,10458
1508900117,10499,10499
1508900934,10489,10489
1508901257,10499,10499
1508902219,10482,10482
1508904626,10529,10529
1508905697,10562,10562
1508906720,10510,10510
1508907554,10522,10522
1508908531,10562,10562
1508909302,10596,10596
1508910981,10580,10580
1508911828,10547,10547
1508913742,10534,10534
1508915659,10558,10558
1508917344,10544,10544
1508918177,10566,10566
1508919027,10523,10523
1508920101,10554,10554
1508920965,10502,10502
1508921885,10521,10521
1508922917,10520,10520
1508923793,10511,10511
1508924544,10542,10542
1508925381,10576,10576
1508926229,10561,10561
1508927339,10600,10600
